,DEPTH(ft),Gamma(gapi),predicted gamma
0,11697.0,119.5879,102.57893777534483
1,11727.0,101.5785,105.97524334574234
2,11757.0,106.2714,113.09149167269283
3,11787.0,107.5259,104.51386413711926
4,11817.0,112.3225,106.55815164373254
5,11847.0,109.9874,107.00300019048589
6,11877.0,102.5292,111.0174818987678
7,11907.0,101.5869,109.3618588853225
8,11937.0,84.6055,105.37904194006255
9,11967.0,92.1856,106.47786422718406
10,11997.0,68.8467,99.15874890523804
11,12027.0,88.6536,86.51971334063421
12,12057.0,76.135,90.99813386638954
13,12087.0,98.8136,87.29105950672096
14,12117.0,92.9594,87.46921389570448
15,12147.0,108.3794,97.1669431767292
16,12177.0,99.4331,95.24803646496996
17,12207.0,100.3163,96.63221668341033
18,12237.0,112.1601,99.01902469560085
19,12267.0,118.0282,102.66988796834744
20,12297.0,111.0729,103.86449978130554
21,12327.0,112.0841,111.24825660133166
22,12357.0,117.3309,112.58270637750671
23,12387.0,113.2354,112.21515637376363
24,12417.0,113.4837,112.82017811738241
25,12447.0,111.5143,116.78495224882636
26,12477.0,95.1749,111.96023826453361
27,12507.0,101.8181,114.62305693823689
28,12537.0,101.2962,107.9781595709339
29,12567.0,98.9744,100.69659808867318
30,12597.0,116.1964,103.28703208082933
31,12627.0,121.0672,105.22406446405574
32,12657.0,106.1921,111.45063163906923
33,12687.0,68.5189,113.4881544339049
34,12717.0,103.5947,105.83086667891548
35,12777.0,139.9041,83.65692762236287
36,12807.0,134.0589,146.9627167352251
37,12837.0,140.2203,96.38466477496976
38,12867.0,191.9521,109.06081123707841
39,12897.0,151.103,194.22756475951655
40,12927.0,123.3355,111.11788533532096
41,12957.0,185.3414,129.89552182129486
42,12987.0,121.2389,199.7158529922152
43,13017.0,136.2494,89.29833485436833
44,13047.0,141.1231,149.5850961239935
45,13077.0,118.2283,136.4658850721615
46,13107.0,103.8423,110.79973366526494
47,13137.0,135.6048,114.24787909315788
48,13167.0,150.7176,140.21638056347967
49,13197.0,165.6281,133.483149766855
50,13227.0,131.4932,151.46976476379177
51,13257.0,149.8183,134.17694349834807
52,13287.0,80.8376,150.35584374343057
53,13317.0,109.6997,102.67975365854903
54,13347.0,63.8872,118.75171668317755
55,13377.0,69.8727,81.00886514381729
56,13407.0,110.1474,87.01087490461488
57,13437.0,92.8415,125.7594813912912
58,13467.0,133.9673,86.88428401481731
59,13497.0,154.3314,138.00231044252027
60,13527.0,99.3282,121.45371319576945
61,13557.0,153.8875,98.70172377331528
62,13587.0,77.4039,139.3127389640989
63,13617.0,85.8774,70.11873291869182
64,13647.0,116.4577,114.85474415454952
65,13677.0,122.9393,122.690353925276
66,13707.0,127.4646,109.9644278023141
67,13737.0,118.4496,137.20297322312092
68,13767.0,67.6756,109.55945903415581
69,13797.0,107.0008,74.60424460682054
70,13827.0,162.084,112.08436698658713
71,13857.0,129.5811,143.19392964719233
72,13887.0,133.9141,111.977482029594
73,13917.0,141.488,132.8899459158047
74,13947.0,170.5841,123.12488761193512
75,13977.0,178.0177,156.5344848392227
76,14007.0,129.0027,160.82488878908654
77,14037.0,137.4042,134.72380690751598
78,14067.0,160.6099,145.81556803751556
79,14097.0,105.513,155.45765499466677
80,14127.0,72.8888,109.81248356249449
81,14157.0,124.8627,103.03320454726838
82,14187.0,159.7508,122.85693220034042
83,14217.0,158.941,126.69428656649708
84,14247.0,162.0245,151.26046410155507
85,14277.0,130.172,147.53289254823636
86,14307.0,110.7435,124.54593068860751
87,14337.0,74.8946,138.20111240724438
88,14367.0,93.2635,95.38550033189354
89,14397.0,62.0128,123.26977210408911
90,14427.0,108.8016,77.44874999497353
91,14457.0,129.9161,118.64830218936689
92,14487.0,118.0258,117.3404353921099
93,14517.0,135.8401,93.7446306727726
94,14547.0,85.1007,118.78521452498319
95,14577.0,149.0498,81.44165658316747
96,14607.0,86.9654,147.90488938296517
97,14637.0,155.8456,104.35174053376346
98,14667.0,129.8233,132.97437482893585
99,14697.0,102.879,120.05433847730579
100,14727.0,108.8539,96.9950266632328
101,14757.0,120.5377,118.22691516830385
102,14787.0,74.3695,112.17626251265801
103,14817.0,80.6698,92.122032981077
104,14847.0,75.6183,93.04825115667448
105,14877.0,75.6183,83.02027384957759
